Cipher,Count
TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,326
TLS_AES_128_GCM_SHA256,323
TLS_AES_256_GCM_SHA384,322
TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,368
TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,326
TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,326
TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,372
TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,343
TLS_CHACHA20_POLY1305_SHA256,323
TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA,325
TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA,325
TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,367
TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,372
