Cipher,Count
TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,39
TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,38
TLS_CHACHA20_POLY1305_SHA256,33
TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,39
TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,33
TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,39
TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,33
TLS_AES_128_GCM_SHA256,33
TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,33
TLS_AES_256_GCM_SHA384,33
TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA,33
TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA,33
TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,35
,1
