Cipher,Count
TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,1113
TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,1485
TLS_ECDHE_ECDSA_WITH_CHACHA20_POLY1305_SHA256,1110
TLS_AES_256_GCM_SHA384,1095
TLS_CHACHA20_POLY1305_SHA256,1093
TLS_ECDHE_ECDSA_WITH_AES_256_CBC_SHA,1113
TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,1401
TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,1402
TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,1115
TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,1481
TLS_ECDHE_RSA_WITH_CHACHA20_POLY1305_SHA256,1209
TLS_AES_128_GCM_SHA256,1094
TLS_ECDHE_ECDSA_WITH_AES_128_CBC_SHA,1114
